"","ModelID","species","RMSE_loo","dev.ex","AIC","Hit","variables","RMSE5","RMSE10","RMSE_combined"
"183",183,"Yellowtail",0.391,0.3219,24.6038939737369,0.68,"LSTpjuv oni_larv ",0.4425048,0.39573152,1.809
"184",184,"Yellowtail",0.383,0.2821,24.892403272222,0.6,"LSTpjuv oni_pjuv ",0.4425048,0.39573152,1.793
"185",185,"Yellowtail",0.445,0.0192,32.0470446042402,0.44,"LSTpjuv pdo_larv ",0.4425048,0.39573152,1.917
"186",186,"Yellowtail",0.42,0.0976,29.964270746811,0.56,"LSTpjuv pdo_pjuv ",0.38439525,0.41864256,1.867
"187",187,"Yellowtail",0.412,0.2714,26.2707510955336,0.52,"CutiSTIpjuv LSTpjuv ",0.32689956,0.35282624,2.046
"188",188,"Yellowtail",0.448,0.0193,32.043721186479,0.36,"CutiTUMIpjuv LSTpjuv ",0.32613274,0.34545079,1.922
"189",189,"Yellowtail",0.527,0.0296,31.9455990528413,0.36,"BeutiTUMIpjuv LSTpjuv ",0.32613274,0.34545079,2.087
"190",190,"Yellowtail",0.464,0.0477,31.4011577616455,0.36,"BeutiSTIpjuv LSTpjuv ",0.32613274,0.34545079,2.139
"191",191,"Yellowtail",0.429,0.2157,27.6039727832661,0.52,"oni_pjuv oni_pre ",0.32613274,0.34545079,1.772
"192",192,"Yellowtail",0.442,0.2883,26.5866777073441,0.4,"CutiSTIpjuv oni_pre ",0.32613274,0.34545079,2.106
"193",193,"Yellowtail",0.45,0.2108,28.6957584685493,0.6,"CutiTUMIpjuv oni_pre ",0.32613274,0.34545079,1.926
"194",194,"Yellowtail",0.456,0.243,27.6783285776149,0.56,"BeutiTUMIpjuv oni_pre ",0.32689956,0.35282624,1.945
"195",195,"Yellowtail",0.438,0.2027,28.4575371157889,0.48,"BeutiSTIpjuv oni_pre ",0.4425048,0.39573152,2.087
"196",196,"Yellowtail",0.409,0.2804,25.8338788763045,0.48,"oni_larv oni_pjuv ",0.4425048,0.39573152,2.093
"197",197,"Yellowtail",0.431,0.3447,24.7119826998688,0.56,"CutiSTIpjuv oni_larv ",0.4425048,0.39573152,2.084
"198",198,"Yellowtail",0.426,0.3083,25.9183027048744,0.48,"CutiTUMIpjuv oni_larv ",0.4425048,0.39573152,1.878
"199",199,"Yellowtail",0.415,0.346,23.978537494201,0.48,"BeutiTUMIpjuv oni_larv ",0.38439525,0.41864256,1.863
"200",200,"Yellowtail",0.422,0.2722,26.3104562976371,0.52,"BeutiSTIpjuv oni_larv ",0.32689956,0.35282624,2.055
"201",201,"Yellowtail",0.41,0.171,27.8434009078956,0.52,"oni_pjuv pdo_larv ",0.4425048,0.39573152,1.734
"202",202,"Yellowtail",0.401,0.3008,25.1040563950605,0.56,"CutiSTIpjuv oni_pjuv ",0.38439525,0.41864256,2.024
"203",203,"Yellowtail",0.435,0.1931,28.092238212823,0.56,"CutiTUMIpjuv oni_pjuv ",0.32689956,0.35282624,1.896
"204",204,"Yellowtail",0.442,0.2528,26.542213850772,0.48,"BeutiTUMIpjuv oni_pjuv ",0.4425048,0.39573152,1.917
"205",205,"Yellowtail",0.422,0.2113,27.5249786718603,0.56,"BeutiSTIpjuv oni_pjuv ",0.38439525,0.41864256,2.055
"206",206,"Yellowtail",0.431,0.1914,28.6513346616384,0.6,"CutiSTIpjuv pdo_larv ",0.32689956,0.35282624,2.084
"207",207,"Yellowtail",0.457,8e-04,32.5113115094469,0.12,"CutiTUMIpjuv pdo_larv ",0.38439525,0.41864256,1.94
"208",208,"Yellowtail",0.507,0.0216,32.2749653645052,0.24,"BeutiTUMIpjuv pdo_larv ",0.32689956,0.35282624,2.047
"209",209,"Yellowtail",0.452,0.0346,31.6521224743248,0.32,"BeutiSTIpjuv pdo_larv ",0.38439525,0.41864256,2.115
"210",210,"Yellowtail",0.416,0.225,27.7173929952775,0.6,"CutiSTIpjuv pdo_pjuv ",0.3427491,0.348285,2.054
